time[s], wr_x[mm], wr_y[mm] 
1.8875,310.663,62.4873
1.8972,312.4363,63.0897
1.9076,314.193,63.6665
1.9297,315.9059,64.1305
1.9308,317.5256,64.474
1.9374,319.1769,65.0226
1.9611,320.9073,65.5743
1.9618,322.594,65.9979
1.9674,324.2475,66.42
1.9773,325.8789,66.9083
1.9877,327.4792,67.4844
2.0066,329.0747,67.9887
2.0076,330.7467,68.4409
2.0173,332.4968,68.9775
2.0369,334.2318,69.4492
2.0377,335.8706,69.8835
2.0475,337.539,70.3397
2.0691,339.1375,70.9284
2.0702,340.8399,71.5509
2.0801,342.4596,72.0734
2.1007,344.0212,72.5382
2.1015,345.5618,73.0092
2.1097,347.1527,73.6952
2.1319,348.7846,74.4279
2.1329,350.3889,74.9985
2.1374,351.9941,75.418
2.1477,353.5984,75.8852
2.1599,355.1606,76.3765
2.1676,356.7072,77.0769
2.1773,358.2782,77.7235
2.1876,359.8557,78.2331
2.1975,361.423,78.6586
2.2079,363.0378,79.1255
2.2262,364.6645,79.7932
2.2273,366.2358,80.4542
2.2372,367.8125,80.9919
2.2576,369.3665,81.4218
2.2585,370.936,81.9043
2.2676,372.5072,82.5037
2.2887,374.0943,83.106
2.2901,375.6286,83.6303
2.2974,377.1304,84.1933
2.3194,378.6411,84.7663
2.3202,380.2333,85.3702
2.3275,381.7998,85.9563
2.3506,383.4289,86.5392
2.3516,385.0288,87.1377
2.3574,386.4577,87.7278
2.382,387.8877,88.2188
2.3828,389.3604,88.7807
2.3886,390.9444,89.4638
2.4135,392.5624,90.2167
2.4144,394.2044,90.9879
2.4171,395.7887,91.5655
2.4275,397.3947,92.0469
2.4453,399.0827,92.6014
2.4475,400.7205,93.3634
2.4574,402.2472,93.9778
2.4776,403.7749,94.5222
2.4784,405.2867,95.1522
2.4878,406.878,95.8265
2.5231,410.1571,97.335
2.5243,411.7971,97.8869
2.5275,413.3457,98.5064
2.5381,414.886,99.1962
2.5474,416.3883,99.86
2.5575,417.9465,100.5865
2.5674,419.577,101.1404
2.5777,421.0905,101.667
2.6019,422.5225,102.2926
2.603,423.9759,102.9309
2.6074,425.4886,103.619
2.6325,427.0208,104.268
2.6333,428.5138,104.8956
2.6373,429.9693,105.526
2.6628,431.4377,106.1549
2.6638,432.9277,106.862
2.6673,434.5574,107.637
2.6776,436.1122,108.3704
2.6943,437.5925,109.0006
2.6975,439.0327,109.5998
2.7073,440.4765,110.2972
2.7174,441.9449,111.0894
2.7273,443.4324,111.9309
2.7377,444.862,112.5892
2.7476,446.2868,113.2119
2.7576,447.7791,113.8722
2.7675,449.2321,114.5979
2.789,450.7301,115.4068
2.7899,452.3129,116.2298
2.7976,453.8696,116.8969
2.8199,455.3794,117.5272
2.8208,456.8584,118.2451
2.8271,458.3282,118.9898
2.8501,459.8368,119.6709
2.8508,461.319,120.2936
2.8574,462.7953,120.8508
2.883,464.2045,121.5859
2.884,465.5835,122.3382
2.8872,467.0066,122.9865
2.8976,468.4873,123.7001
2.9147,470.0584,124.417
2.9175,471.5169,125.1406
2.9273,472.9678,125.7903
2.9376,474.4019,126.4536
2.9473,475.8789,127.3456
2.9576,477.3794,128.266
2.9673,478.8591,129.0155
2.9774,480.2964,129.6413
2.9876,481.7727,130.3208
3.0089,483.2101,131.1675
3.0098,484.6941,132.1486
3.0175,486.1916,133.0731
3.0391,487.6583,133.857
3.0402,489.0994,134.5414
3.0473,490.561,135.3376
3.0578,492.0465,136.2045
3.0736,493.4897,137.0776
3.0806,494.9905,137.8293
3.0873,496.429,138.5772
3.1057,497.9018,139.4462
3.1071,499.3545,140.3372
3.1178,500.7604,141.206
3.137,502.2452,141.9616
3.138,503.7775,142.6924
3.1474,505.2495,143.4881
3.1686,506.708,144.3616
3.1694,508.1807,145.1623
3.1777,509.6217,146.0812
3.2001,511.0779,146.9907
3.2012,512.5747,147.8222
3.2074,514.0547,148.7178
3.2175,515.516,149.6004
3.2299,517.0028,150.5388
3.2376,518.4606,151.5375
3.2725,521.2932,153.1971
3.2735,522.7241,154.0373
3.2773,524.2161,154.8255
3.2877,525.6609,155.793
3.3041,527.0116,156.7164
3.3074,528.3642,157.4921
3.3174,529.7213,158.2333
3.3356,531.1786,159.0449
3.3371,532.5941,160.012
3.3473,533.9936,161.0137
3.3662,535.4602,161.8117
3.3674,536.9091,162.5804
3.3773,538.3316,163.3641
3.3978,539.709,164.3422
3.3985,541.0711,165.2637
3.4076,542.4365,166.0861
3.4295,543.7483,166.8531
3.4305,545.1255,167.6836
3.4373,546.4792,168.6538
3.4627,547.907,169.5324
3.4636,549.3516,170.4542
3.4675,550.7635,171.3658
3.4922,552.129,172.2872
3.4934,553.5011,173.1533
3.4971,554.9054,173.9633
3.5074,556.2739,174.8977
3.5233,557.7123,175.8559
3.5276,559.2202,176.8992
3.5373,560.5838,177.8823
