time_s,x_hat_m,y_hat_m,theta_hat_rad
0.0003,0.0630475,0.0202653,1.16155043159593
0.0214,0.0632101227119928,0.0206402356970945,1.15986243159593
0.0231,0.0631822876750894,0.020571337061428,1.15972327948999
0.0467,0.0637225368091882,0.0218368341456417,1.15798713123298
0.0478,0.0635915786741478,0.0215372754689194,1.15790737811668
0.0516,0.0635963928424194,0.0215459533294858,1.15759529304793
0.0618,0.0638289130169038,0.022046183227201,1.15642921023815
0.0715,0.0640816488144692,0.022483038540459,1.15340843565658
0.0818,0.0644203874645162,0.0229537335074627,1.14647602841957
0.0918,0.0648179806694017,0.0233895151350002,1.13463823208227
0.1091,0.0655355076493529,0.0243290395918325,1.11534810711428
0.1117,0.0657181832206806,0.0241219292980848,1.09719287411053
0.1234,0.066288046275371,0.0246140139649868,1.07535716201814
0.1405,0.067128547878291,0.0254534246323444,1.04827206242224
0.1417,0.0673146085311544,0.0251009798833808,1.02310446918541
0.1517,0.067942653983847,0.0254078984116175,0.994273239265685
0.1723,0.0691620443406724,0.0264042942320865,0.957776315498168
0.1731,0.0694254757006968,0.0259653169161448,0.924182260913238
0.182,0.0701542595112062,0.0261002489834456,0.888239208436598
0.2049,0.0717371506036777,0.0270866758223824,0.846104621981272
0.2058,0.0720656257296285,0.0266012040859419,0.808784412379782
0.2117,0.0727036131659974,0.0264666383825627,0.772596394566539
0.2383,0.0746893063625915,0.0275065989781506,0.732318015030204
0.239,0.0749860190298942,0.0269887131945361,0.697973646081426
0.242,0.0754348268603166,0.0266487864980624,0.665769989070209
0.2522,0.0763976431491009,0.0266996393747056,0.633416992858907
0.2696,0.0778979533120165,0.0270672401736364,0.599921858890724
0.2717,0.0782872311068364,0.0266645779605759,0.569871862378551
0.2819,0.0792896639781017,0.0266486929648643,0.539762529197568
0.2917,0.0802763608241807,0.0265880672844642,0.510032887627634
0.3017,0.08129207822773,0.0265104694032017,0.480655847245583
0.3116,0.082302468322071,0.0264094064051315,0.452298945803805
0.3319,0.0841350927491551,0.0266634937809867,0.424025385203133
