time[s], wr_x[mm], wr_y[mm] 
0.0003,63.0475,20.2653
0.0214,63.0619,20.2985
0.0231,63.0711,20.3099
0.0467,63.0309,20.3069
0.0478,63.0379,20.2712
0.0516,63.0344,20.2534
0.0618,63.1123,20.2642
0.0715,63.4314,20.2412
0.0818,64.0208,20.292
0.0918,64.7279,20.3731
0.1091,65.3522,20.3386
0.1117,65.7571,20.2331
0.1234,66.1732,20.1801
0.1405,66.6685,20.1122
0.1417,67.2806,20.135
0.1517,67.9141,20.0781
0.1723,68.6961,20.0355
0.1731,69.48,19.9392
0.182,70.2814,19.8624
0.2049,71.0868,19.7708
0.2058,71.9287,19.6857
0.2117,72.7178,19.6739
0.2383,73.4066,19.6178
0.239,74.1697,19.5159
0.242,74.977,19.5001
0.2522,75.8219,19.4734
0.2696,76.7103,19.42
0.2717,77.605,19.4206
0.2819,78.4998,19.3566
0.2917,79.4624,19.254
0.3017,80.4573,19.1445
0.3116,81.3515,19.0463
0.3319,82.1988,19.0121
0.3327,83.0672,18.9997
0.3419,83.8663,18.9589
0.3636,84.6994,18.8976
0.3647,85.5861,18.8451
0.3717,86.5316,18.8483
0.3961,87.4675,18.8039
0.3969,88.4491,18.6854
0.402,89.5129,18.564
0.4274,90.5563,18.4887
0.4284,91.5606,18.4646
0.4317,92.5972,18.522
0.442,93.4717,18.4546
0.4605,94.4164,18.4213
0.4618,95.3448,18.3967
0.4719,96.3228,18.3065
0.4941,97.3708,18.2147
0.495,98.4624,18.1662
0.5019,99.5557,18.1143
0.5343,101.4524,18.0397
0.5354,102.3129,17.9897
0.5417,103.2122,17.9353
0.5658,104.1239,17.914
0.5666,105.0405,17.8723
0.5719,106.054,17.7248
0.5967,107.1518,17.6229
0.5977,108.334,17.6807
0.6017,109.3215,17.6436
0.6122,110.1275,17.5228
0.6281,110.9908,17.4992
0.633,111.8184,17.4566
0.6417,112.7146,17.3926
0.6595,113.6219,17.3386
0.6616,114.5858,17.2117
0.6717,115.7021,17.1471
0.6905,116.7991,17.1343
0.6917,117.776,17.1259
